t,raw_dt,draw_dt,sim_before,sim_after,advance,acc_after
1790366157.739,0.0380,0.0380,12.2333,12.2833,0.0500,0.0037
1790366157.788,0.0480,0.0480,12.2833,12.3333,0.0500,0.0017
1790366157.826,0.0480,0.0480,12.3333,12.3667,0.0333,0.0163
1790366157.873,0.0380,0.0380,12.3667,12.4167,0.0500,0.0043
1790366157.921,0.0460,0.0460,12.4167,12.4667,0.0500,0.0003
1790366157.962,0.0480,0.0480,12.4667,12.5000,0.0333,0.0150
1790366158.011,0.0410,0.0410,12.5000,12.5500,0.0500,0.0060
1790366158.056,0.0490,0.0490,12.5500,12.6000,0.0500,0.0050
1790366158.113,0.0450,0.0450,12.6000,12.6500,0.0500,0.0000
1790366158.158,0.0580,0.0500,12.6500,12.7000,0.0500,0.0080
1790366158.205,0.0460,0.0460,12.7000,12.7500,0.0500,0.0040
1790366158.258,0.0470,0.0470,12.7500,12.8000,0.0500,0.0010
1790366158.308,0.0530,0.0500,12.8000,12.8500,0.0500,0.0040
1790366158.355,0.0510,0.0500,12.8500,12.9000,0.0500,0.0050
1790366158.401,0.0450,0.0450,12.9000,12.9500,0.0500,0.0000
1790366158.439,0.0460,0.0460,12.9500,12.9833,0.0333,0.0127
1790366158.485,0.0390,0.0390,12.9833,13.0333,0.0500,0.0017
1790366158.520,0.0450,0.0450,13.0333,13.0667,0.0333,0.0133
1790366158.557,0.0360,0.0360,13.0667,13.1000,0.0333,0.0160
1790366158.602,0.0370,0.0370,13.1000,13.1500,0.0500,0.0030
1790366158.638,0.0430,0.0430,13.1500,13.1833,0.0333,0.0127
1790366158.674,0.0370,0.0370,13.1833,13.2167,0.0333,0.0163
1790366158.719,0.0360,0.0360,13.2167,13.2667,0.0500,0.0023
1790366158.757,0.0450,0.0450,13.2667,13.3000,0.0333,0.0140
1790366158.802,0.0380,0.0380,13.3000,13.3500,0.0500,0.0020
1790366158.841,0.0450,0.0450,13.3500,13.3833,0.0333,0.0137
1790366158.889,0.0400,0.0400,13.3833,13.4333,0.0500,0.0037
1790366158.937,0.0470,0.0470,13.4333,13.4833,0.0500,0.0007
1790366158.973,0.0480,0.0480,13.4833,13.5167,0.0333,0.0153
1790366159.021,0.0360,0.0360,13.5167,13.5667,0.0500,0.0013
1790366159.061,0.0480,0.0480,13.5667,13.6000,0.0333,0.0160
1790366159.111,0.0400,0.0400,13.6000,13.6500,0.0500,0.0060
1790366159.159,0.0500,0.0500,13.6500,13.7000,0.0500,0.0060
1790366159.203,0.0470,0.0470,13.7000,13.7500,0.0500,0.0030
1790366159.240,0.0460,0.0460,13.7500,13.7833,0.0333,0.0157
1790366159.287,0.0370,0.0370,13.7833,13.8333,0.0500,0.0027
1790366159.328,0.0460,0.0460,13.8333,13.8667,0.0333,0.0153
1790366159.378,0.0470,0.0470,13.8667,13.9167,0.0500,0.0123
1790366159.423,0.0440,0.0440,13.9167,13.9667,0.0500,0.0063
1790366159.469,0.0460,0.0460,13.9667,14.0167,0.0500,0.0023
1790366159.505,0.0450,0.0450,14.0167,14.0500,0.0333,0.0140
1790366159.549,0.0360,0.0360,14.0500,14.1000,0.0500,0.0000
1790366159.585,0.0450,0.0450,14.1000,14.1333,0.0333,0.0117
1790366159.623,0.0360,0.0360,14.1333,14.1667,0.0333,0.0143
1790366159.669,0.0370,0.0370,14.1667,14.2167,0.0500,0.0013
1790366159.705,0.0450,0.0450,14.2167,14.2500,0.0333,0.0130
1790366159.741,0.0360,0.0360,14.2500,14.2833,0.0333,0.0157
1790366159.786,0.0370,0.0370,14.2833,14.3333,0.0500,0.0027
1790366159.822,0.0440,0.0440,14.3333,14.3667,0.0333,0.0133
1790366159.866,0.0370,0.0370,14.3667,14.4167,0.0500,0.0003
1790366159.903,0.0440,0.0440,14.4167,14.4500,0.0333,0.0110
1790366159.940,0.0370,0.0370,14.4500,14.4833,0.0333,0.0147
1790366159.987,0.0380,0.0380,14.4833,14.5333,0.0500,0.0027
1790366160.027,0.0470,0.0470,14.5333,14.5667,0.0333,0.0163
1790366160.075,0.0400,0.0400,14.5667,14.6167,0.0500,0.0063
1790366160.119,0.0470,0.0470,14.6167,14.6667,0.0500,0.0033
1790366160.155,0.0440,0.0440,14.6667,14.7000,0.0333,0.0140
