t,snap_px,input,delay,jitter_ema,buf_depth,newest_stamp,render_t,host_time_est
1790276460.637,0.189,,0.1348,0.0174,8,26.0000,24.9827,26.0112
1790276460.732,0.189,,0.1287,0.0143,8,26.1000,25.0787,26.1103
1790276460.845,0.000,,0.1291,0.0145,8,26.2000,25.1907,26.2106
1790276460.940,0.189,,0.1263,0.0132,8,26.3000,25.2867,26.3100
1790276461.036,0.189,,0.1226,0.0113,8,26.4000,25.3827,26.4102
1790276461.133,0.189,,0.1189,0.0094,8,26.5000,25.4787,26.5103
1790276461.246,0.000,,0.1213,0.0107,8,26.6000,25.5907,26.6106
1790276461.343,0.189,,0.1201,0.0100,8,26.7000,25.6867,26.7110
1790276461.438,0.189,,0.1172,0.0086,8,26.8000,25.7837,26.8112
1790276461.534,0.189,,0.1147,0.0074,8,26.9000,25.8797,26.9113
1790276461.646,0.000,,0.1179,0.0089,8,27.0000,25.9917,27.0096
1790276461.741,0.189,,0.1174,0.0087,8,27.1000,26.0877,27.1100
1790276461.856,0.000,,0.1200,0.0100,8,27.2000,26.2027,27.2094
1790276461.969,0.000,,0.1179,0.0089,8,27.3000,26.3147,27.3091
1790276462.064,0.189,,0.1192,0.0096,8,27.4000,26.4107,27.4098
1790276462.176,0.000,,0.1188,0.0094,8,27.5000,26.5217,27.5094
1790276462.272,0.189,,0.1190,0.0095,8,27.6000,26.6177,27.6099
1790276462.399,0.189,,0.1259,0.0129,8,27.7000,26.7457,27.7089
1790276462.514,0.000,,0.1211,0.0106,8,27.8000,26.8597,27.8097
1790276462.612,0.189,,0.1230,0.0115,8,27.9000,26.9557,27.9115
1790276462.706,0.189,,0.1215,0.0107,8,28.0000,27.0517,28.0110
1790276462.818,0.000,,0.1221,0.0110,8,28.1000,27.1637,28.1104
1790276462.931,0.189,,0.1205,0.0102,8,28.2000,27.2767,28.2101
1790276463.030,0.000,,0.1208,0.0104,8,28.3000,27.3737,28.3127
1790276463.127,0.189,,0.1193,0.0096,8,28.4000,27.4697,28.4131
1790276463.223,0.189,W,0.1159,0.0080,8,28.5000,27.5677,28.5112
1790276463.335,1.333,W,0.1182,0.0091,8,28.6000,27.6797,28.6105
1790276463.432,0.733,Q+W,0.1172,0.0086,8,28.7000,27.7777,28.7109
1790276463.543,0.244,Q+W,0.1179,0.0090,8,28.8000,27.8897,28.8094
1790276463.656,0.021,W,0.1168,0.0084,8,28.9000,28.0027,28.9091
1790276463.767,0.000,W,0.1143,0.0072,8,29.0000,28.1147,29.0081
1790276463.867,2.721,Q+W,0.1165,0.0082,8,29.1000,28.2117,29.1116
1790276463.977,0.244,Q+W,0.1165,0.0082,8,29.2000,28.3237,29.2093
1790276464.089,0.000,Q+W,0.1148,0.0074,8,29.3000,28.4357,29.3091
1790276464.187,4.005,Q+W,0.1169,0.0084,8,29.4000,28.5317,29.4107
1790276464.283,4.240,Q+W,0.1160,0.0080,8,29.5000,28.6277,29.5101
1790276464.395,0.186,W,0.1184,0.0092,8,29.6000,28.7407,29.6104
1790276464.507,0.000,W,0.1175,0.0088,8,29.7000,28.8537,29.7092
1790276464.603,4.612,W,0.1185,0.0092,8,29.8000,28.9507,29.8088
1790276464.715,0.000,W,0.1184,0.0092,8,29.9000,29.0627,29.9084
1790276464.829,0.186,Q+W,0.1169,0.0084,8,30.0000,29.1757,30.0091
1790276466.236,35.564,,0.1336,0.0310,8,31.4000,29.8991,31.4086
1790276466.316,21.842,,0.1591,0.0295,8,31.5000,29.9791,31.5099
1790276466.549,60.065,,0.1690,0.0345,8,31.7000,30.2101,31.7118
1790276466.611,27.302,,0.1700,0.0350,8,31.8000,30.2741,31.8124
1790276466.710,27.302,,0.1642,0.0321,8,31.9000,30.3711,31.9136
1790276466.917,62.359,,0.1663,0.0332,8,32.1000,30.5801,32.1105
1790276467.012,27.302,,0.1533,0.0266,8,32.2000,30.6761,32.2094
1790276467.108,27.302,,0.1427,0.0214,8,32.3000,30.7721,32.3094
1790276467.205,27.302,,0.1342,0.0171,8,32.4000,30.8681,32.4094
1790276467.430,70.986,,0.1412,0.0206,8,32.6000,31.0931,32.6097
1790276467.525,27.302,,0.1359,0.0179,8,32.7000,31.1891,32.7090
